DATE,RISE,SET,TITH1,TS1,TE1,TITH2,TS2,TE2,TITH3,TS3,TE3,SUN1,SS1,SE1,SUN2,SS2,SE2,MOON1,MS1,ME1,MOON2,MS2,ME2,MOON3,MS3,ME3,NAK1,NS1,NE1,NAK2,NS2,NE2,NAK3,NS3,NE3,YOG1,YS1,YE1,YOG2,YS2,YE2,YOG3,YS3,YE3,YOG4,YS4,YE4,YOG5,YS5,YE5,KAR1,KS1,KE1,KAR2,KS2,KE2,KAR3,KS3,KE3,KAR4,KS4,KE4,KAR5,KS5,KE5,AMAN1,AS1,AE1,AMAN2,AS2,AE2,PURN1,PS1,PE1,PURN2,PS2,PE2,RITU1,RS1,RE1,RITU2,RS2,RE2,AUSP_TXT,INAU_TXT,FEST_TXT,ASTRO_TXT
1/1/2025,7:13,17:35,17,1/1/2025 0:00,2/1/2025 0:00,0,0,0,0,0,0,2,1/1/2025 0:00,2/1/2025 0:00,0,0,0,9,1/1/2025 0:00,2/1/2025 0:00,0,0,0,0,0,0,20,1/1/2025 0:00,2/1/2025 0:00,0,0,0,0,0,0,26,1/1/2025 0:00,2/1/2025 0:00,0,0,0,0,0,0,0,0,0,0,0,0,33,1/1/2025 0:00,1/1/2025 14:00,34,1/1/2025 14:00,2/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,1/1/2025 0:00,2/1/2025 0:00,0,0,0,3,1/1/2025 0:00,2/1/2025 0:00,0,0,0,2,1/1/2025 0:00,2/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
2/1/2025,7:14,17:36,18,2/1/2025 0:00,3/1/2025 0:00,0,0,0,0,0,0,2,2/1/2025 0:00,3/1/2025 0:00,0,0,0,9,2/1/2025 0:00,3/1/2025 0:00,0,0,0,0,0,0,21,2/1/2025 0:00,3/1/2025 0:00,0,0,0,0,0,0,0,2/1/2025 0:00,3/1/2025 0:00,0,0,0,0,0,0,0,0,0,0,0,0,35,2/1/2025 0:00,2/1/2025 14:00,36,2/1/2025 14:00,3/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,2/1/2025 0:00,3/1/2025 0:00,0,0,0,3,2/1/2025 0:00,3/1/2025 0:00,0,0,0,2,2/1/2025 0:00,3/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
3/1/2025,7:14,17:37,19,3/1/2025 0:00,4/1/2025 0:00,0,0,0,0,0,0,2,3/1/2025 0:00,4/1/2025 0:00,0,0,0,9,3/1/2025 0:00,3/1/2025 14:00,10,3/1/2025 14:00,4/1/2025 0:00,0,0,0,22,3/1/2025 0:00,4/1/2025 0:00,0,0,0,0,0,0,1,3/1/2025 0:00,4/1/2025 0:00,0,0,0,0,0,0,0,0,0,0,0,0,37,3/1/2025 0:00,3/1/2025 14:00,38,3/1/2025 14:00,4/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,3/1/2025 0:00,4/1/2025 0:00,0,0,0,3,3/1/2025 0:00,4/1/2025 0:00,0,0,0,2,3/1/2025 0:00,4/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
4/1/2025,7:14,17:38,20,4/1/2025 0:00,5/1/2025 0:00,0,0,0,0,0,0,2,4/1/2025 0:00,5/1/2025 0:00,0,0,0,10,4/1/2025 0:00,5/1/2025 0:00,0,0,0,0,0,0,23,4/1/2025 0:00,5/1/2025 0:00,0,0,0,0,0,0,2,4/1/2025 0:00,5/1/2025 0:00,0,0,0,0,0,0,0,0,0,0,0,0,39,4/1/2025 0:00,4/1/2025 14:00,40,4/1/2025 14:00,5/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,4/1/2025 0:00,5/1/2025 0:00,0,0,0,3,4/1/2025 0:00,5/1/2025 0:00,0,0,0,2,4/1/2025 0:00,5/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
5/1/2025,7:14,17:38,21,5/1/2025 0:00,6/1/2025 0:00,0,0,0,0,0,0,2,5/1/2025 0:00,6/1/2025 0:00,0,0,0,10,5/1/2025 0:00,5/1/2025 14:00,11,5/1/2025 14:00,6/1/2025 0:00,0,0,0,24,5/1/2025 0:00,6/1/2025 0:00,0,0,0,0,0,0,3,5/1/2025 0:00,5/1/2025 14:00,4,5/1/2025 14:00,6/1/2025 0:00,0,0,0,0,0,0,0,0,0,41,5/1/2025 0:00,5/1/2025 14:00,42,5/1/2025 14:00,6/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,5/1/2025 0:00,6/1/2025 0:00,0,0,0,3,5/1/2025 0:00,6/1/2025 0:00,0,0,0,2,5/1/2025 0:00,6/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
6/1/2025,7:14,17:39,22,6/1/2025 0:00,7/1/2025 0:00,0,0,0,0,0,0,2,6/1/2025 0:00,7/1/2025 0:00,0,0,0,11,6/1/2025 0:00,7/1/2025 0:00,0,0,0,0,0,0,25,6/1/2025 0:00,7/1/2025 0:00,0,0,0,0,0,0,4,6/1/2025 0:00,6/1/2025 14:00,5,6/1/2025 14:00,7/1/2025 0:00,0,0,0,0,0,0,0,0,0,43,6/1/2025 0:00,6/1/2025 14:00,44,6/1/2025 14:00,7/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,6/1/2025 0:00,7/1/2025 0:00,0,0,0,3,6/1/2025 0:00,7/1/2025 0:00,0,0,0,2,6/1/2025 0:00,7/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
7/1/2025,7:14,17:40,23,7/1/2025 0:00,7/1/2025 14:00,24,7/1/2025 14:00,8/1/2025 0:00,0,0,0,2,7/1/2025 0:00,8/1/2025 0:00,0,0,0,11,7/1/2025 0:00,7/1/2025 14:00,0,7/1/2025 14:00,8/1/2025 0:00,0,0,0,26,7/1/2025 0:00,7/1/2025 14:00,0,7/1/2025 14:00,8/1/2025 0:00,0,0,0,5,7/1/2025 0:00,7/1/2025 14:00,6,7/1/2025 14:00,8/1/2025 0:00,0,0,0,0,0,0,0,0,0,46,7/1/2025 0:00,7/1/2025 14:00,47,7/1/2025 14:00,8/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,7/1/2025 0:00,8/1/2025 0:00,0,0,0,3,7/1/2025 0:00,8/1/2025 0:00,0,0,0,2,7/1/2025 0:00,8/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
8/1/2025,7:14,17:41,24,8/1/2025 0:00,8/1/2025 14:00,25,8/1/2025 14:00,9/1/2025 0:00,0,0,0,2,8/1/2025 0:00,9/1/2025 0:00,0,0,0,0,8/1/2025 0:00,9/1/2025 0:00,0,0,0,0,0,0,0,8/1/2025 0:00,8/1/2025 14:00,1,8/1/2025 14:00,9/1/2025 0:00,0,0,0,6,8/1/2025 0:00,8/1/2025 14:00,7,8/1/2025 14:00,9/1/2025 0:00,0,0,0,0,0,0,0,0,0,48,8/1/2025 0:00,8/1/2025 14:00,49,8/1/2025 14:00,9/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,8/1/2025 0:00,9/1/2025 0:00,0,0,0,3,8/1/2025 0:00,9/1/2025 0:00,0,0,0,2,8/1/2025 0:00,9/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
9/1/2025,7:14,17:41,25,9/1/2025 0:00,9/1/2025 14:00,26,9/1/2025 14:00,10/1/2025 0:00,0,0,0,2,9/1/2025 0:00,10/1/2025 0:00,0,0,0,0,9/1/2025 0:00,10/1/2025 0:00,0,0,0,0,0,0,1,9/1/2025 0:00,9/1/2025 14:00,2,9/1/2025 14:00,10/1/2025 0:00,0,0,0,7,9/1/2025 0:00,9/1/2025 14:00,8,9/1/2025 14:00,10/1/2025 0:00,0,0,0,0,0,0,0,0,0,50,9/1/2025 0:00,9/1/2025 14:00,51,9/1/2025 14:00,10/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,9/1/2025 0:00,10/1/2025 0:00,0,0,0,3,9/1/2025 0:00,10/1/2025 0:00,0,0,0,2,9/1/2025 0:00,10/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
10/1/2025,7:14,17:42,26,10/1/2025 0:00,10/1/2025 14:00,27,10/1/2025 14:00,11/1/2025 0:00,0,0,0,2,10/1/2025 0:00,11/1/2025 0:00,0,0,0,1,10/1/2025 0:00,11/1/2025 0:00,0,0,0,0,0,0,2,10/1/2025 0:00,10/1/2025 14:00,3,10/1/2025 14:00,11/1/2025 0:00,0,0,0,9,10/1/2025 0:00,11/1/2025 0:00,0,0,0,0,0,0,0,0,0,0,0,0,52,10/1/2025 0:00,10/1/2025 14:00,53,10/1/2025 14:00,11/1/2025 0:00,0,0,0,0,0,0,0,0,0,3,10/1/2025 0:00,11/1/2025 0:00,0,0,0,3,10/1/2025 0:00,11/1/2025 0:00,0,0,0,2,10/1/2025 0:00,11/1/2025 0:00,0,0,0,Good Time,Bad Time,No Fest,No Event
